date,state,state_abbrev,confirmed,confirmed_cum,deaths,deaths_cum,tests,tests_cum,positives,positives_cum,recovered,recovered_cum,hosp,hosp_cum,icu,icu_cum,vent,vent_cum,population
12/03/2020,Victoria,VIC,6,27,0,0,0,0,6,27,0,0,0,0,0,0,0,0,
13/03/2020,Victoria,VIC,9,36,0,0,0,0,9,36,0,0,0,0,0,0,0,0,
14/03/2020,Victoria,VIC,13,49,0,0,0,0,13,49,0,0,0,0,0,0,0,0,
15/03/2020,Victoria,VIC,8,57,0,0,0,0,8,57,0,0,0,0,0,0,0,0,
16/03/2020,Victoria,VIC,14,71,0,0,11700,11700,14,71,0,0,0,0,0,0,0,0,
17/03/2020,Victoria,VIC,23,94,0,0,2500,14200,23,94,0,0,0,0,0,0,0,0,
18/03/2020,Victoria,VIC,27,121,0,0,1000,15200,27,121,0,0,0,0,0,0,0,0,
19/03/2020,Victoria,VIC,29,150,0,0,1980,17180,29,150,28,28,0,0,0,0,0,0,
20/03/2020,Victoria,VIC,28,178,0,0,2157,19337,28,178,11,39,0,0,0,0,0,0,
21/03/2020,Victoria,VIC,51,229,0,0,1163,20500,51,229,12,51,0,0,0,0,0,0,
22/03/2020,Victoria,VIC,67,296,0,0,2400,22900,67,296,19,70,0,0,0,0,0,0,
23/03/2020,Victoria,VIC,59,355,0,0,800,23700,59,355,27,97,0,0,0,0,0,0,
