iso_code,continent,Country,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
FRA,Europe,France,29/10/2020,1235132,36437,39673,35785,244,248.143,18922.408,558.22,607.796,548.232,3.738,3.802,,,,,,,,,,,,,,,,,,,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
PYF,Oceania,French Polynesia,29/10/2020,6493,0,269,26,0,1.429,23114.658,0,957.623,92.558,0,5.086,,,,,,,,,,,,,,,,,,,280904,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,
GAB,Africa,Gabon,29/10/2020,8957,20,8,55,1,0.143,4024.301,8.986,3.594,24.711,0.449,0.064,,,,,,,,,,,,,,,,,,,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.702
GMB,Africa,Gambia,29/10/2020,3666,1,1.286,119,0,0.143,1516.967,0.414,0.532,49.241,0,0.059,,,,,,,,,,,,,,,,,,,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.46
GEO,Asia,Georgia,29/10/2020,35567,1709,2051.286,273,20,14.429,8915.879,428.409,514.213,68.435,5.014,3.617,,,,,,,,,,,,,,,,,,,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.78
DEU,Europe,Germany,29/10/2020,481013,16774,12709.143,10272,89,52.429,5741.112,200.205,151.689,122.601,1.062,0.626,,,,,,,,,,,,,,,,,,,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.936
GHA,Africa,Ghana,29/10/2020,47775,0,44.857,316,0,0.571,1537.511,0,1.444,10.17,0,0.018,,,,,,,,,,,,,,,,,,,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.592
GIB,Europe,Gibraltar,29/10/2020,682,3,8.714,,0,0,20242.795,89.045,258.653,,0,0,,,,,,,,,,,,,,,,,,,33691,3457.1,,,,,,,,,,,,79.93,
GRC,Europe,Greece,29/10/2020,34299,1547,995,603,10,9.857,3290.686,148.421,95.461,57.853,0.959,0.946,,,,,,,,,,,,,,,,,,,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,,4.21,82.24,0.87
GRL,North America,Greenland,29/10/2020,17,0,0.143,,0,0,299.443,0,2.516,,0,0,,,,,,,,,,,,,,,,,,,56772,0.137,,,,,,199.941,2.16,,,,,71.7,
GRD,North America,Grenada,29/10/2020,28,0,0.143,,0,0,248.847,0,1.27,,0,0,,,,,,,,,,,,,,,,,,,112519,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.772
GUM,Oceania,Guam,29/10/2020,4466,34,71.143,77,1,1.143,26460.011,201.442,421.505,456.207,5.925,6.771,,,,,,,,,,,,,,,,,,,168783,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,
GTM,North America,Guatemala,29/10/2020,106320,749,557.857,3682,17,16.429,5934.504,41.807,31.138,205.52,0.949,0.917,,,,,,,,,,,,,,,,,,,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.65
GGY,Europe,Guernsey,29/10/2020,267,1,1,13,0,0,3981.984,14.914,14.914,193.879,0,0,,,,,,,,,,,,,,,,,,,67052,,,,,,,,,,,,,,
GIN,Africa,Guinea,29/10/2020,11819,0,26.286,71,0,0,899.961,0,2.002,5.406,0,0,,,,,,,,,,,,,,,,,,,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.459
GNB,Africa,Guinea-Bissau,29/10/2020,2403,0,0,41,0,0,1221.038,0,0,20.833,0,0,,,,,,,,,,,,,,,,,,,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.455
GUY,South America,Guyana,29/10/2020,4074,13,32,123,4,1,5179.522,16.528,40.684,156.377,5.085,1.271,,,,,,,,,,,,,,,,,,,786559,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.654
HTI,North America,Haiti,29/10/2020,9046,20,9.571,232,0,0.143,793.332,1.754,0.839,20.346,0,0.013,,,,,,,,,,,,,,,,,,,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.498
HND,North America,Honduras,29/10/2020,95199,576,588.714,2652,13,8,9611.587,58.155,59.438,267.754,1.313,0.808,,,,,,,,,,,,,,,,,,,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,,84.169,0.7,75.27,0.617
